"result_id","tier","dataset","analysis_population","analysis","outcome","comparison_or_metric","effect_measure","estimate","lower_95","upper_95","p_value","n","events","display_value","destination","submission_status","amendment"
"NHANES_FULL_N","Cohort flow","NHANES 2011<U+2013>2018","albumin phenotype cohort","albumin phenotype cohort","All-cause mortality","total participants","count",4637,,,,4637,831,"4637","Methods/Results cohort flow; participant table","USE","Amendment 17"
"NHANES_P1_COUNT","Cohort flow","NHANES 2011<U+2013>2018","albumin phenotype cohort","albumin phenotype cohort","All-cause mortality","P1 count","count",1152,,,,1152,331,"1152","Methods/Results cohort flow; participant table","USE","Amendment 17"
"NHANES_P2_COUNT","Cohort flow","NHANES 2011<U+2013>2018","albumin phenotype cohort","albumin phenotype cohort","All-cause mortality","P2 count","count",1689,,,,1689,244,"1689","Methods/Results cohort flow; participant table","USE","Amendment 17"
"NHANES_P3_COUNT","Cohort flow","NHANES 2011<U+2013>2018","albumin phenotype cohort","albumin phenotype cohort","All-cause mortality","P3 count","count",1796,,,,1796,256,"1796","Methods/Results cohort flow; participant table","USE","Amendment 17"
"NHANES_PRIMARY_P1","Primary","NHANES 2011<U+2013>2018","fully adjusted survey Cox","fully adjusted survey Cox","All-cause mortality","P1 vs P3 HR","HR",2.08182528490231,1.63116184314601,2.65699969323682,3.8352181755488e-09,3979,720,"2.08 (1.63<U+2013>2.66)","Abstract; main Results; main effect table","USE","Amendment 17"
"NHANES_PRIMARY_P2","Primary","NHANES 2011<U+2013>2018","fully adjusted survey Cox","fully adjusted survey Cox","All-cause mortality","P2 vs P3 HR","HR",1.48755641631928,1.14788662449438,1.92773749995334,0.00267434829669232,3979,720,"1.49 (1.15<U+2013>1.93)","Main Results; main effect table","USE","Amendment 17"
"NHANES_IPW_P1","Key sensitivity","NHANES 2011<U+2013>2018","survey Cox with selection IPW","survey Cox with selection IPW","All-cause mortality","P1 vs P3 HR","HR",2.07336662175349,1.62476348254127,2.64583072822251,4.57801291648528e-09,3979,720,"2.07 (1.62<U+2013>2.65)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 17"
"NHANES_IPW_P2","Key sensitivity","NHANES 2011<U+2013>2018","survey Cox with selection IPW","survey Cox with selection IPW","All-cause mortality","P2 vs P3 HR","HR",1.47973757213209,1.14294476750797,1.91577348672198,0.00293946886524866,3979,720,"1.48 (1.14<U+2013>1.92)","Main Results briefly; supplementary table","SUPPORTIVE","Amendment 17"
"NHANES_CLUSTER_BOOT_P1","Sensitivity","NHANES 2011<U+2013>2018","cluster-aware bootstrap","cluster-aware bootstrap","All-cause mortality","P1 vs P3 median HR","HR",1.85651933191501,1.39439662064224,2.315750684041,,3979,720,"1.86 (1.39<U+2013>2.32)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_LANDMARK12_P1","Sensitivity","NHANES 2011<U+2013>2018","12-month landmark","12-month landmark","All-cause mortality","P1 vs P3 HR","HR",2.04657864067339,1.56255445020555,2.6805364330885,1.97369843527081e-07,3884,625,"2.05 (1.56<U+2013>2.68)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_LANDMARK24_P1","Sensitivity","NHANES 2011<U+2013>2018","24-month landmark","24-month landmark","All-cause mortality","P1 vs P3 HR","HR",1.93171312384756,1.44582591575033,2.5808885787667,8.42358982860779e-06,3262,504,"1.93 (1.45<U+2013>2.58)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_LOCO_P1","Sensitivity","NHANES 2011<U+2013>2018","survey-weighted pooled leave-one-cycle-out","survey-weighted pooled leave-one-cycle-out","All-cause mortality","P1 vs P3 HR","HR",1.84083582454423,1.4830375414733,2.28495667719849,3.13158262012423e-08,3979,720,"1.84 (1.48<U+2013>2.28)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_RD36_P1","Sensitivity","NHANES 2011<U+2013>2018","standardised survey bootstrap","standardised survey bootstrap","All-cause mortality","P1 vs P3 risk difference percentage points","percentage points",5.012148166396,3.6514403877084,6.36319812784888,,3979,720,"5.01 (3.65<U+2013>6.36)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_RD60_P1","Sensitivity","NHANES 2011<U+2013>2018","standardised survey bootstrap","standardised survey bootstrap","All-cause mortality","P1 vs P3 risk difference percentage points","percentage points",9.45560173150013,6.95922707479177,12.0088031623957,,3979,720,"9.46 (6.96<U+2013>12.01)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_RMST60_P1","Sensitivity","NHANES 2011<U+2013>2018","standardised survey bootstrap","standardised survey bootstrap","All-cause mortality","P1 vs P3 RMST difference months","months",-2.50972353755964,-3.20271489027406,-1.837167328293,,3979,720,"-2.51 (-3.20<U+2013>-1.84)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_TV12_P1","Sensitivity","NHANES 2011<U+2013>2018","weighted robust time-varying Cox","weighted robust time-varying Cox","All-cause mortality","P1 vs P3 HR at 12 months","HR",2.80098386591036,1.84213308113156,4.25892716299894,1.45392642843612e-06,3979,720,"2.80 (1.84<U+2013>4.26)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"NHANES_TV96_P1","Sensitivity","NHANES 2011<U+2013>2018","weighted robust time-varying Cox","weighted robust time-varying Cox","All-cause mortality","P1 vs P3 HR at 96 months","HR",1.54516477954303,1.08510140169033,2.20028671257915,0.0158262575317507,3979,720,"1.55 (1.09<U+2013>2.20)","Supplementary Results/table; selected P1 result may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_CLARA_P1","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","All-cause mortality","P1 vs P3","HR",1.85698544079617,1.46571688120923,2.35270192459269,2.94056575270083e-07,3979,720,"1.86 (1.47<U+2013>2.35)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_CLARA_P2","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","CLARA K-medoids","All-cause mortality","P2 vs P3","HR",1.47108090504948,1.0480536867765,2.06485512765787,0.02566037706385,3979,720,"1.47 (1.05<U+2013>2.06)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_GMM_P1","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","All-cause mortality","P1 vs P3","HR",1.79964480416693,1.40021898051727,2.31301065492526,4.45234046874241e-06,3979,720,"1.80 (1.40<U+2013>2.31)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_GMM_P2","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Gaussian mixture","All-cause mortality","P2 vs P3","HR",1.99743222832957,1.61469561105991,2.47089016619716,1.83042124542189e-10,3979,720,"2.00 (1.61<U+2013>2.47)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_NLR5_P1","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","All-cause mortality","P1 vs P3","HR",2.10417480109091,1.71069161856222,2.58816466130066,1.88089997984614e-12,3979,720,"2.10 (1.71<U+2013>2.59)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_NLR5_P2","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature NLR only","All-cause mortality","P2 vs P3","HR",1.12853060686775,0.875050932310306,1.45543680214679,0.351529371450915,3979,720,"1.13 (0.88<U+2013>1.46)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
"STRUCT_NHANES_SII5_P1","Structural sensitivity","NHANES 2011<U+2013>2018","Primary six-feature-complete cohort, relabelled under the stated structural variant","Five-feature SII only","All-cause mortality","P1 vs P3","HR",1.94093165753697,1.58582365486762,2.37555776625345,1.25392414919444e-10,3979,720,"1.94 (1.59<U+2013>2.38)","Supplementary structural-sensitivity table; P1 range may be summarised in main text","SUPPORTIVE","Amendment 17"
