dataset,k,phenotype,cluster_raw,n,nlr,sii,haemoglobin,albumin,bmi,creatinine,p1_score,reserve_deficit_score,favorable_reference_score
NHANES,2,P1,2,2146,3.058823529411765,682.8995098039217,13.6,4.1,28.1,0.99,2.1213203435596437,0.7071067811865475,-2.8284271247461907
NHANES,2,P3,1,2491,1.5999999999999999,331.1111111111111,13.8,4.2,28,0.9,-2.1213203435596415,-0.7071067811865475,2.828427124746189
NHANES,4,P1,4,708,2.9393382352941178,629.755,12.2,3.9,27.2,1.36,3.025283520623675,2.9782026737085463,-6.003486194332221
NHANES,4,P2,3,1582,1.4336075205640422,290.275,13.7,4.2,27.2,0.91,-3.2278638598966647,-0.3214378899296509,3.549301749826316
NHANES,4,P3,2,866,2.179144385026738,481.01666666666665,13.8,4,36,0.9,-0.6217364457010366,-1.2795847620222383,1.9013212077232748
NHANES,4,P4,1,1481,2.8125,626.3076923076923,14.3,4.3,26.5,0.89,0.8243167849740316,-1.3771800217566623,0.5528632367826307
MIMIC-IV,2,P1,2,602,17.009999999999998,3452.0625,9.9,2.9,27,1.4,2.121320343559643,2.121320343559652,-4.2426406871192945
MIMIC-IV,2,P3,1,498,4.51424765902486,633.0400580551525,10.5,3.3,27.2,1,-2.1213203435596424,-2.121320343559633,4.242640687119276
MIMIC-IV,4,P1,3,267,10.9054054054054,2044.5,9.3,3,31.8,2.8,2.096405371148201,-1.1903414239290095,-0.9060639472191916
MIMIC-IV,4,P2,1,205,3.325,368.3,8.3,2.8,26,1,-3.0376796756188926,1.9126933244019169,1.1249863512169758
MIMIC-IV,4,P3,4,335,7.35514018691589,1329.76774193548,11.9,3.5,27.1,1,-0.8117999825068166,-2.631050727040425,3.4428507095472414
MIMIC-IV,4,P4,2,293,21.925,4602.93333333333,9.6,2.6,25,1,1.7530742869775064,1.9086988265675195,-3.661773113545026
eICU,2,P1,1,7981,15.5663716814159,3047.66666666667,10.3,2.6,26.4740352270563,1.32,2.1213203435596424,2.121320343559641,-4.242640687119284
eICU,2,P3,2,7261,4.76923076923077,803.421052631579,11.35,3.1,27.4718622664257,1.05,-2.1213203435596424,-2.1213203435596437,4.242640687119286
eICU,4,P1,1,3072,11,1865.38888888889,9.7,2.8,31.3259797937286,2.8,2.1351562083197546,-0.5059715803351967,-1.6291846279845579
eICU,4,P2,3,4365,18,3703.08163265306,10.3,2.5,24.3317750180037,1.03,1.7231092994717163,2.1718319063965104,-3.8949412058682262
eICU,4,P3,4,4454,7.50229357798165,1357.72943722944,12.7,3.4,28.06492797187325,0.975,-0.9341078207519669,-3.099771656679979,4.033879477431945
eICU,4,P4,2,3351,3.60103626943005,542.857142857143,9.8,2.7,26.0632062093259,1.1,-2.924157687039503,1.4339113306186655,1.4902463564208377
