dataset,k,model,n,events,comparison,effect_measure,estimate,lower_95,upper_95,p_value,effect_95ci
NHANES,2,Complex-survey fully adjusted Cox,3979,720,P1 vs P3,HR,1.269061065811061,1.0763777591237569,1.4962367766392475,0.004567995550249733,1.269 (1.076-1.496)
NHANES,4,Complex-survey fully adjusted Cox,3979,720,P1 vs P3,HR,1.786764883498476,1.3555709109096625,2.3551174809150783,3.805480236881194e-5,1.787 (1.356-2.355)
NHANES,4,Complex-survey fully adjusted Cox,3979,720,P2 vs P3,HR,0.9852813323076131,0.7603051958312076,1.2768284487817492,0.9107261792285537,0.985 (0.760-1.277)
NHANES,4,Complex-survey fully adjusted Cox,3979,720,P4 vs P3,HR,0.8850598494058937,0.6568804605218205,1.192501503862836,0.42217058061440255,0.885 (0.657-1.193)
MIMIC-IV,2,Official OASIS quartile-stratified Cox,1100,550,P1 vs P3,HR,1.3309520123455723,1.116108818169799,1.587151028939574,0.0014576220213725845,1.331 (1.116-1.587)
MIMIC-IV,4,Official OASIS quartile-stratified Cox,1100,550,P1 vs P3,HR,1.8524958504076356,1.4452106340706607,2.3745610465870133,1.1322749882842639e-6,1.852 (1.445-2.375)
MIMIC-IV,4,Official OASIS quartile-stratified Cox,1100,550,P2 vs P3,HR,2.118367173631941,1.6305804728539295,2.7520748328766325,1.890332839026875e-8,2.118 (1.631-2.752)
MIMIC-IV,4,Official OASIS quartile-stratified Cox,1100,550,P4 vs P3,HR,1.9961912711457555,1.5677080552376659,2.541786768069142,2.056975064742613e-8,1.996 (1.568-2.542)
eICU,2,APACHE-adjusted hospital random-intercept logistic,13234,1990,P1 vs P3,OR,1.3767150357346243,1.228740593148069,1.542509704804218,3.5762459808592835e-8,1.377 (1.229-1.543)
eICU,4,APACHE-adjusted hospital random-intercept logistic,13234,1990,P1 vs P3,OR,1.1460276689347446,0.9727032116028579,1.3502365390567257,0.10327268990760227,1.146 (0.973-1.350)
eICU,4,APACHE-adjusted hospital random-intercept logistic,13234,1990,P2 vs P3,OR,1.3315480165061309,1.1413021511736263,1.5535063334789787,2.723403142583792e-4,1.332 (1.141-1.554)
eICU,4,APACHE-adjusted hospital random-intercept logistic,13234,1990,P4 vs P3,OR,0.9410184055194741,0.7893185128687751,1.121873648076504,0.4978944746540597,0.941 (0.789-1.122)
