dataset,k,logW,E.logW,gap,SE.sim
NHANES,1,8.23801878545238,8.969986474889874,0.7319676894374929,0.00313940727069626
NHANES,2,8.127628630433415,8.860344582784313,0.7327159523508975,0.003098206299720353
NHANES,3,8.063052814551895,8.786421765038384,0.7233689504864884,0.0031327262830067428
NHANES,4,8.014048983940416,8.732158003750646,0.71810901981023,0.003081495838812776
NHANES,5,7.973199960073185,8.696284409472783,0.7230844493995985,0.0030826950874985877
NHANES,6,7.936133299038633,8.663784907398396,0.7276516083597633,0.0030876384002270873
MIMIC-IV,1,6.798517372287232,7.425013395562781,0.626496023275549,0.006215986989144073
MIMIC-IV,2,6.692963771912682,7.305074653108185,0.6121108811955027,0.006700293655074026
MIMIC-IV,3,6.615774845023819,7.236834138207859,0.6210592931840404,0.0067338761686668224
MIMIC-IV,4,6.552564101723031,7.1822844637854875,0.6297203620624563,0.006763620446951551
MIMIC-IV,5,6.511184265613881,7.140397916492799,0.6292136508789179,0.006608578194035897
MIMIC-IV,6,6.467967171454557,7.103083140371665,0.6351159689171082,0.006612109971865946
eICU,1,9.431723040303135,10.21035774858339,0.7786347082802543,0.001727440725829024
eICU,2,9.315463017823012,10.111700216041866,0.7962371982188543,0.0016321810824679735
eICU,3,9.243613166103746,10.042997031093558,0.799383864989812,0.0017257350277728985
eICU,4,9.188997114325282,9.992740210065493,0.8037430957402112,0.0017247188589119794
eICU,5,9.145985665833583,9.953727792547042,0.8077421267134586,0.0016754677055043246
eICU,6,9.105553936142435,9.918232621046899,0.8126786849044638,0.0016897998818457005
