dataset,k,n_evaluated,mean_silhouette,median_silhouette,q1_silhouette,q3_silhouette,negative_fraction
NHANES,2,4637,0.18270758210093738,0.18305803809494803,0.09830586220045591,0.2703187105700527,0.05714901876213069
NHANES,3,4637,0.15443387033244801,0.1587954181598321,0.07093253174891383,0.23957511448916882,0.10761268061246496
NHANES,4,4637,0.1648846300609755,0.16092833948820817,0.07635204867135524,0.25332476099678103,0.06038386888074186
NHANES,5,4637,0.14716340153017365,0.14124841041949734,0.06766691848321331,0.22430654921204593,0.07655811947379772
NHANES,6,4637,0.14278656413344296,0.13719446022151363,0.06005951724067964,0.22527251481926336,0.10049601035152038
MIMIC-IV,2,1100,0.17438039250156132,0.17416854293525638,0.08924164929345493,0.25849076323598497,0.02090909090909091
MIMIC-IV,3,1100,0.16936281946684237,0.16813273418035177,0.08553915571278228,0.254214216480851,0.07090909090909091
MIMIC-IV,4,1100,0.17392559391682103,0.16883559461362874,0.07579585159793477,0.27088784605153393,0.07636363636363637
MIMIC-IV,5,1100,0.1719437052258708,0.17131420029133493,0.07673156243174126,0.26628187854804314,0.07636363636363637
MIMIC-IV,6,1100,0.17817663565102146,0.17132107118194567,0.08326576165949966,0.27082823408847184,0.05181818181818182
eICU,2,5000,0.19150341312301025,0.19425485394140365,0.09996862528394596,0.28274334672190704,0.0128
eICU,3,5000,0.1796954785547816,0.17582073638429263,0.08709966262019952,0.2699241899725847,0.0514
eICU,4,5000,0.17339330269990497,0.16898076662920744,0.07951492838420664,0.2630851992250506,0.0558
eICU,5,5000,0.17819786808199745,0.17158417396275227,0.08269454836178451,0.2734438618916811,0.0568
eICU,6,5000,0.16401514124204356,0.15541890031224015,0.07312779178307166,0.2513220585429487,0.058
