dataset,k,n_audit_sample,repetitions,consensus_cdf_auc,pac_0_1_0_9,delta_cdf_auc
NHANES,2,2000,100,0.4950640170085042,0.0973576788394197,NA
NHANES,3,2000,100,0.6579611955977989,0.17737968984492247,0.16289717858929464
NHANES,4,2000,100,0.7295095697848925,0.18999299649824913,0.07154837418709359
NHANES,5,2000,100,0.7879487968984492,0.15636568284142072,0.05843922711355676
NHANES,6,2000,100,0.8284950725362681,0.1017328664332166,0.040546275637818874
MIMIC-IV,2,1100,100,0.49696377698734384,0.17454049135577798,NA
MIMIC-IV,3,1100,100,0.6522640995946728,0.14618247994044173,0.15530032260732896
MIMIC-IV,4,1100,100,0.7439492017536603,0.1798709570684093,0.09168510215898751
MIMIC-IV,5,1100,100,0.7821661593183886,0.27418810488874185,0.038216957564728316
MIMIC-IV,6,1100,100,0.8131531888493672,0.11616841756969146,0.030987029530978538
eICU,2,2000,100,0.5010754352176088,0.11549374687343672,NA
eICU,3,2000,100,0.6619739294647323,0.11553476738369185,0.16089849424712355
eICU,4,2000,100,0.7400461555777889,0.11145472736368184,0.07807222611305653
eICU,5,2000,100,0.784090907953977,0.2683821910955478,0.0440447523761881
eICU,6,2000,100,0.8201398549274638,0.24340920460230114,0.03604894697348682
