dataset,k,consensus,empirical_cdf
NHANES,2,0,0.41037818909454726
NHANES,2,0.01,0.41037818909454726
NHANES,2,0.02,0.429647823911956
NHANES,2,0.03,0.4307153576788394
NHANES,2,0.04,0.43320810405202603
NHANES,2,0.05,0.4364527263631816
NHANES,2,0.06,0.43781790895447725
NHANES,2,0.07,0.43947423711855926
NHANES,2,0.08,0.44089794897448725
NHANES,2,0.09,0.44231415707853927
NHANES,2,0.1,0.44378589294647325
NHANES,2,0.11,0.4450270135067534
NHANES,2,0.12,0.44619159579789897
NHANES,2,0.13,0.4473641820910455
NHANES,2,0.14,0.4485642821410705
NHANES,2,0.15,0.4500435217608804
NHANES,2,0.16,0.45143771885942974
NHANES,2,0.17,0.4531055527763882
NHANES,2,0.18,0.4547213606803402
NHANES,2,0.19,0.456655827913957
NHANES,2,0.2,0.4590295147573787
NHANES,2,0.21,0.46075187593796896
NHANES,2,0.22,0.4624512256128064
NHANES,2,0.23,0.46420860430215105
NHANES,2,0.24,0.46572836418209107
NHANES,2,0.25,0.4673501750875438
NHANES,2,0.26,0.4683591795897949
NHANES,2,0.27,0.4695937968984492
NHANES,2,0.28,0.47062431215607803
NHANES,2,0.29,0.47167733866933464
NHANES,2,0.3,0.4728889444722361
NHANES,2,0.31,0.47386043021510754
NHANES,2,0.32,0.4749789894947474
NHANES,2,0.33,0.47615557778889445
NHANES,2,0.34,0.477392196098049
NHANES,2,0.35000000000000003,0.4786193096548274
NHANES,2,0.36,0.47975487743871936
NHANES,2,0.37,0.48096198099049525
NHANES,2,0.38,0.48211905952976486
NHANES,2,0.39,0.48320660330165083
NHANES,2,0.4,0.4843061530765383
NHANES,2,0.41000000000000003,0.4850985492746373
NHANES,2,0.42,0.48588044022011007
NHANES,2,0.43,0.48667233616808403
NHANES,2,0.44,0.48754677338669333
NHANES,2,0.45,0.48848774387193594
NHANES,2,0.46,0.4893416708354177
NHANES,2,0.47000000000000003,0.49036418209104554
NHANES,2,0.48,0.4912621310655328
NHANES,2,0.49,0.49207403701850927
NHANES,2,0.5,0.4936898449224612
NHANES,2,0.51,0.4944792396198099
NHANES,2,0.52,0.49525812906453226
NHANES,2,0.53,0.4961030515257629
NHANES,2,0.54,0.4971455727863932
NHANES,2,0.55,0.4980910455227614
NHANES,2,0.56,0.4989229614807404
NHANES,2,0.5700000000000001,0.4997903951975988
NHANES,2,0.58,0.5006183091545773
NHANES,2,0.59,0.5013981990995497
NHANES,2,0.6,0.5023846923461731
NHANES,2,0.61,0.5031740870435217
NHANES,2,0.62,0.5041980990495247
NHANES,2,0.63,0.5052746373186593
NHANES,2,0.64,0.5064787393696848
NHANES,2,0.65,0.5077293646823412
NHANES,2,0.66,0.5087913956978489
NHANES,2,0.67,0.5100840420210105
NHANES,2,0.68,0.5112751375687844
NHANES,2,0.6900000000000001,0.5123926963481741
NHANES,2,0.7000000000000001,0.5135872936468234
NHANES,2,0.71,0.5146123061530765
NHANES,2,0.72,0.5157688844422211
NHANES,2,0.73,0.5168574287143571
NHANES,2,0.74,0.5180735367683842
NHANES,2,0.75,0.5194617308654327
NHANES,2,0.76,0.5204842421210605
NHANES,2,0.77,0.5217768884442221
NHANES,2,0.78,0.5232986493246623
NHANES,2,0.79,0.5247793896948474
NHANES,2,0.8,0.5269179589794898
NHANES,2,0.81,0.5284887443721861
NHANES,2,0.8200000000000001,0.5302711355677839
NHANES,2,0.8300000000000001,0.5317853926963482
NHANES,2,0.84,0.5334097048524262
NHANES,2,0.85,0.5348084042021011
NHANES,2,0.86,0.536167583791896
NHANES,2,0.87,0.537368184092046
NHANES,2,0.88,0.5385692846423211
NHANES,2,0.89,0.5398124062031016
NHANES,2,0.9,0.54135967983992
NHANES,2,0.91,0.5426108054027013
NHANES,2,0.92,0.5441530765382692
NHANES,2,0.93,0.5457488744372186
NHANES,2,0.9400000000000001,0.5475022511255628
NHANES,2,0.9500000000000001,0.5490165082541271
NHANES,2,0.96,0.5517578789394697
NHANES,2,0.97,0.5540535267633817
NHANES,2,0.98,0.5550850425212607
NHANES,2,0.99,0.5777963981990996
NHANES,2,1,1
NHANES,3,0,0.47116358179089546
NHANES,3,0.01,0.47116358179089546
NHANES,3,0.02,0.5336773386693346
NHANES,3,0.03,0.5380600300150075
NHANES,3,0.04,0.5469969984992497
NHANES,3,0.05,0.5525607803901951
NHANES,3,0.06,0.5551865932966483
NHANES,3,0.07,0.5582326163081541
NHANES,3,0.08,0.5610420210105053
NHANES,3,0.09,0.5636853426713356
NHANES,3,0.1,0.5667728864432217
NHANES,3,0.11,0.5695697848924463
NHANES,3,0.12,0.572344672336168
NHANES,3,0.13,0.5748889444722362
NHANES,3,0.14,0.5771700850425212
NHANES,3,0.15,0.5796908454227113
NHANES,3,0.16,0.5817973986993497
NHANES,3,0.17,0.584095547773887
NHANES,3,0.18,0.5860765382691345
NHANES,3,0.19,0.588223611805903
NHANES,3,0.2,0.590647823911956
NHANES,3,0.21,0.5925292646323161
NHANES,3,0.22,0.5944887443721861
NHANES,3,0.23,0.596824412206103
NHANES,3,0.24,0.5990920460230115
NHANES,3,0.25,0.6018029014507253
NHANES,3,0.26,0.6036418209104553
NHANES,3,0.27,0.6059779889944973
NHANES,3,0.28,0.6079959979989995
NHANES,3,0.29,0.6100275137568785
NHANES,3,0.3,0.6122181090545272
NHANES,3,0.31,0.6140340170085042
NHANES,3,0.32,0.6161110555277639
NHANES,3,0.33,0.6182901450725363
NHANES,3,0.34,0.6204662331165582
NHANES,3,0.35000000000000003,0.6226698349174588
NHANES,3,0.36,0.6247128564282141
NHANES,3,0.37,0.6270680340170085
NHANES,3,0.38,0.6294202101050526
NHANES,3,0.39,0.6318919459729865
NHANES,3,0.4,0.6347653826913456
NHANES,3,0.41000000000000003,0.6370325162581291
NHANES,3,0.42,0.6394567283641821
NHANES,3,0.43,0.641967983991996
NHANES,3,0.44,0.6446513256628315
NHANES,3,0.45,0.6473146573286643
NHANES,3,0.46,0.6495582791395698
NHANES,3,0.47000000000000003,0.6522116058029015
NHANES,3,0.48,0.6544662331165583
NHANES,3,0.49,0.6563256628314157
NHANES,3,0.5,0.6599299649824912
NHANES,3,0.51,0.6617073536768384
NHANES,3,0.52,0.6635587793896949
NHANES,3,0.53,0.6658024012006003
NHANES,3,0.54,0.668376188094047
NHANES,3,0.55,0.6707823911955978
NHANES,3,0.56,0.673160580290145
NHANES,3,0.5700000000000001,0.6757083541770885
NHANES,3,0.58,0.6781135567783892
NHANES,3,0.59,0.6804262131065533
NHANES,3,0.6,0.6834447223611806
NHANES,3,0.61,0.6854557278639319
NHANES,3,0.62,0.6879044522261131
NHANES,3,0.63,0.6901900950475237
NHANES,3,0.64,0.6925407703851926
NHANES,3,0.65,0.6947988994497248
NHANES,3,0.66,0.6967053526763382
NHANES,3,0.67,0.6989804902451225
NHANES,3,0.68,0.701151575787894
NHANES,3,0.6900000000000001,0.7032426213106553
NHANES,3,0.7000000000000001,0.7053701850925462
NHANES,3,0.71,0.707168584292146
NHANES,3,0.72,0.7091695847923962
NHANES,3,0.73,0.7110145072536268
NHANES,3,0.74,0.7131750875437719
NHANES,3,0.75,0.71557528764382194
NHANES,3,0.76,0.7171775887943972
