dataset,k,repetitions,median_ari,q1_ari,q3_ari,minimum_ari
NHANES,2,200,0.9668374248157718,0.9486261097091248,0.9790748354044322,0.8960436874537877
NHANES,3,200,0.668407528335222,0.5844901447148858,0.9663583052062691,0.45701163710822257
NHANES,4,200,0.8974465127187182,0.7817185592557998,0.9352097857187629,0.6809468153398818
NHANES,5,200,0.9164377437200897,0.798364660624353,0.9333885029147077,0.67234439804372
NHANES,6,200,0.8570012902489241,0.8055840188685852,0.9081609746104696,0.6303142253351861
MIMIC-IV,2,200,0.915398895208741,0.8638970388915215,0.9505645414456334,0.5349913345079342
MIMIC-IV,3,200,0.9112320241686289,0.8597373038851722,0.9357886848948738,0.785728166367961
MIMIC-IV,4,200,0.8666851867599015,0.8087535565425913,0.9161736102261412,0.6595482574007966
MIMIC-IV,5,200,0.7039530852985927,0.48051158855933584,0.877738968226609,0.42061458110890937
MIMIC-IV,6,200,0.8624116581066068,0.832199494463455,0.9152893512938628,0.7506060900318757
eICU,2,200,0.9808990515417619,0.972630604220956,0.9875715945070916,0.95075252417271106
eICU,3,200,0.9805748732660586,0.9679223815534971,0.9860270691918036,0.925464296472738
eICU,4,200,0.9634724762888746,0.9500555198571782,0.9750079551673824,0.753717729958748
eICU,5,200,0.9504848133897532,0.8970345971741981,0.9698214446728008,0.834106535526495
eICU,6,200,0.9335316210473453,0.5803743021363761,0.959725152140265,0.441656433600894
