dataset,k,reference_cluster,repetitions,mean_jaccard,median_jaccard,q1_jaccard,q3_jaccard,minimum_jaccard
NHANES,2,1,200,0.9834903642698123,0.9845962723411148,0.9761524278853486,0.990286515347951,0.9528571428571428
NHANES,2,2,200,0.9807272623651948,0.9821220466155811,0.9722983935598465,0.9888364276568502,0.9420374707259953
NHANES,3,1,200,0.8045810587073149,0.7306189903846154,0.6669813589737673,0.9745465179210531,0.5688729874776386
NHANES,3,2,200,0.8596856026977947,0.8181785514909236,0.7608491397696574,0.9799434059790291,0.6653295128939828
NHANES,3,3,200,0.8281423286946523,0.7685947160736668,0.7074541123721452,0.9776390806360893,0.6072261072261073
NHANES,4,1,200,0.8892018999105183,0.9127382887542486,0.8125433872129864,0.9467392350059728,0.7405329593267882
NHANES,4,2,200,0.9196146699568352,0.9276767700214912,0.8820262358161791,0.9516341843695186,0.8191632928475033
NHANES,4,3,200,0.9181412602172868,0.9360076343057439,0.8665518061776405,0.9643159866659069,0.7821187077385424
NHANES,4,4,200,0.8782349985257127,0.9257069761200474,0.776093832940296,0.9440935403968718,0.6976401179941003
NHANES,5,1,200,0.9211028809795709,0.9436607300299771,0.8817359667359668,0.9564431587796074,0.7561475409836066
NHANES,5,2,200,0.8816861858934503,0.9256824216675518,0.7915633227299345,0.9480751439144737,0.6669435215946844
NHANES,5,3,200,0.9290451415344944,0.9372938243191408,0.9089174184594031,0.9557248821839882,0.8026905829596412
NHANES,5,4,200,0.9321161294625364,0.9351199931847679,0.9056711655748814,0.959110968097821,0.8493723849372385
NHANES,5,5,200,0.8849447546970399,0.9184378171157965,0.8095736653461612,0.9433949992773523,0.6977730646871686
NHANES,6,1,200,0.8619098775042872,0.8888098556110402,0.79075592435811215,0.9302280787574906,0.6085672082717873
NHANES,6,2,200,0.8492469616965639,0.8579674592902303,0.779479996576344,0.9225026808245284,0.6268817204301075
NHANES,6,3,200,0.8744382743063189,0.8880533273915627,0.8348745243047969,0.9287294563843236,0.5965270684371808
NHANES,6,4,200,0.9186749334168186,0.9246657453995701,0.9004613554267134,0.9450268496420048,0.7769953051643192
NHANES,6,5,200,0.9102322227413594,0.9132343903638152,0.8898563785611978,0.9369920994950759,0.7863924050632911
NHANES,6,6,200,0.9079844660496806,0.9120306776556777,0.8816350141402398,0.9348474112881293,0.8196969696969697
MIMIC-IV,2,1,200,0.9424451350766853,0.9532594618801515,0.9263014403894083,0.9725331848138866,0.7283372365339579
MIMIC-IV,2,2,200,0.9526409257970492,0.9612358039922813,0.9386131363872573,0.9773312545076577,0.7885304659498208
MIMIC-IV,3,1,200,0.914148417999529,0.9298542345777723,0.8736073741903337,0.9541808051610742,0.7330097087378641
MIMIC-IV,3,2,200,0.9418874247371071,0.946824108498717,0.9246651785714286,0.9641518150642336,0.864
MIMIC-IV,3,3,200,0.9345645963667351,0.945872701970263,0.9104432729432729,0.9584478021978022,0.8518518518518519
MIMIC-IV,4,1,200,0.8960142042453343,0.9026480836236934,0.8571428571428571,0.9409154194222067,0.7525773195876289
MIMIC-IV,4,2,200,0.8778203566130719,0.886176980913823,0.8326920455061882,0.9378188775510204,0.6909090909090909
MIMIC-IV,4,3,200,0.8783600951254842,0.8843518518518518,0.8165938864628821,0.9400883838383838,0.6557377049180327
MIMIC-IV,4,4,200,0.9134465763089292,0.936328694871507,0.8943622401198726,0.9643463497453311,0.7430555555555556
MIMIC-IV,5,1,200,0.6859467480410089,0.6808510638297872,0.46461914641375224,0.9196895058964025,0.3861788617886179
MIMIC-IV,5,2,200,0.6255632447691422,0.6614181145431146,0.3703309692671395,0.9049332865168539,0.20909090909090908
MIMIC-IV,5,3,200,0.7598836506571685,0.741991991991992,0.6266453167234693,0.9150943396226415,0.5408560311284046
MIMIC-IV,5,4,200,0.6458503751049226,0.6046511627906976,0.3381835128417564,0.9770025839793282,0.23780487804878048
MIMIC-IV,5,5,200,0.8228251493661041,0.800368906455863,0.7339919909392443,0.9196787148594378,0.6404109589041096
MIMIC-IV,6,1,200,0.9570220796982691,0.9770084566596194,0.9396938775510204,1,0.5675675675675675
MIMIC-IV,6,2,200,0.9062177681981856,0.9257142857142857,0.8674033149171271,0.9476744186046512,0.665
MIMIC-IV,6,3,200,0.8294804219546409,0.8333333333333334,0.7345868417296989,0.9316665597536724,0.5886075949367089
MIMIC-IV,6,4,200,0.9146485353161077,0.9222527472527473,0.8834504536559331,0.9519687791239515,0.6709677419354839
MIMIC-IV,6,5,200,0.908083118060884,0.9019132653061225,0.8755186721991701,0.9440256400769572,0.8067226890756303
MIMIC-IV,6,6,200,0.8840785753032897,0.8869772046749734,0.8437111429937829,0.9334922680412371,0.7333333333333333
eICU,2,1,200,0.9901266024708048,0.9908630725570979,0.9869224765804456,0.9940773067331671,0.9766153846153847
eICU,2,2,200,0.9891317252215547,0.9899356516308345,0.9855594846229244,0.9934651762682717,0.9739948674080411
eICU,3,1,200,0.9792986645665375,0.9850725809939702,0.9738134011104065,0.9906706785043592,0.9283515253288553
eICU,3,2,200,0.9846425312374502,0.9863198581252175,0.9800371840498248,0.9906393988068724,0.9548142890939201
eICU,3,3,200,0.9855205701974783,0.988525564012398,0.9802996118337785,0.9926006360913098,0.9577731092436975
eICU,4,1,200,0.965190860134537,0.9706473235938924,0.9528717970505486,0.9808118989405054,0.8860420650095602
eICU,4,2,200,0.9585807775353572,0.9625208212033844,0.9496844813838395,0.9765892404087754,0.7656151419558359
eICU,4,3,200,0.9771009333109973,0.9804753757500909,0.9737775678194244,0.985571362691418,0.8745459625593741
eICU,4,4,200,0.9662713410278484,0.9716035612735336,0.9604842880436886,0.9815143341197841,0.7579157317377213
eICU,5,1,200,0.93558623944336,0.9506675124857983,0.8974437583124237,0.9752451102418207,0.8580593424218124
eICU,5,2,200,0.9438931342648962,0.9661287324287772,0.9043367422625826,0.9783681625223484,0.856211088052179
eICU,5,3,200,0.95920606612419,0.9689113136478246,0.9383070519080234,0.9782743502718103,0.8806223479490807
eICU,5,4,200,0.9502731117066784,0.9515107281576175,0.9331015896421342,0.9728900816108652,0.8537431829449678
eICU,5,5,200,0.9601626313490931,0.960984646424317,0.9470489359483218,0.9742652421591996,0.9220212102308172
eICU,6,1,200,0.8368352910654592,0.9407027821427452,0.6775454811108758,0.968316830838188,0.38975
eICU,6,2,200,0.782304208976926,0.9402483844533702,0.5402487481771215,0.9696950309713125,0.3201202843083652
eICU,6,3,200,0.9073873354528921,0.943754875182029,0.8341176379115255,0.9650949308869644,0.8066298342541437
eICU,6,4,200,0.8393287395583314,0.9488351961950059,0.6725632674264427,0.9693567468186439,0.4693221972373916
eICU,6,5,200,0.7486630492194333,0.9362456237777008,0.46502227206424396,0.9631643118034714,0.3203237930037583
eICU,6,6,200,0.9341733508850322,0.9569020167943805,0.8902151639344262,0.9694763452891131,0.8396039603960396
