dataset,k,cluster_raw,n,fraction
NHANES,2,1,2491,0.5372007763640285
NHANES,2,2,2146,0.46279922363597154
NHANES,3,1,1152,0.24843648910933794
NHANES,3,2,1689,0.36424412335561784
NHANES,3,3,1796,0.3873193875350442
NHANES,4,1,1481,0.31938753504420964
NHANES,4,2,866,0.1867586801811516
NHANES,4,3,1582,0.3411688591761915
NHANES,4,4,708,0.15268492559844726
NHANES,5,1,1139,0.24563295233987492
NHANES,5,2,1275,0.2749622600819495
NHANES,5,3,778,0.16778089281863273
NHANES,5,4,550,0.11861117101574294
NHANES,5,5,895,0.19301272374379988
NHANES,6,1,746,0.16087987923226224
NHANES,6,2,975,0.21026525770972612
NHANES,6,3,958,0.2065990942419668
NHANES,6,4,504,0.10869096398533534
NHANES,6,5,676,0.14578391201207677
NHANES,6,6,778,0.16778089281863273
MIMIC-IV,2,1,498,0.4527272727272727
MIMIC-IV,2,2,602,0.5472727272727272
MIMIC-IV,3,1,257,0.23363636363636364
MIMIC-IV,3,2,401,0.36454545454545456
MIMIC-IV,3,3,442,0.4018181818181818
MIMIC-IV,4,1,205,0.18636363636363637
MIMIC-IV,4,2,293,0.26636363636363636
MIMIC-IV,4,3,267,0.24272727272727274
MIMIC-IV,4,4,335,0.30454545454545456
MIMIC-IV,5,1,247,0.22454545454545455
MIMIC-IV,5,2,218,0.19818181818181818
MIMIC-IV,5,3,267,0.24272727272727274
MIMIC-IV,5,4,63,0.057272727272727274
MIMIC-IV,5,5,305,0.2772727272727273
MIMIC-IV,6,1,58,0.05272727272727273
MIMIC-IV,6,2,208,0.1890909090909091
MIMIC-IV,6,3,150,0.13636363636363635
MIMIC-IV,6,4,173,0.1572727272727273
MIMIC-IV,6,5,276,0.2509090909090909
MIMIC-IV,6,6,235,0.21363636363636362
eICU,2,1,7981,0.5236189476446661
eICU,2,2,7261,0.47638105235533396
eICU,3,1,4337,0.2845427109303241
eICU,3,2,5168,0.33906311507676157
eICU,3,3,5737,0.3763941739929143
eICU,4,1,3072,0.20154835323448367
eICU,4,2,3351,0.21985303765909986
eICU,4,3,4365,0.2863797401915759
eICU,4,4,4454,0.29221886891484056
eICU,5,1,2918,0.19144469229759875
eICU,5,2,3942,0.2586274767090933
eICU,5,3,4097,0.2687967458338801
eICU,5,4,2384,0.15640991995801076
eICU,5,5,1901,0.12472116520141714
eICU,6,1,3291,0.21591654638498883
eICU,6,2,2444,0.16034641123212176
eICU,6,3,2093,0.13731793727857236
eICU,6,4,3032,0.19892402571840967
eICU,6,5,2677,0.17563311901325285
eICU,6,6,1705,0.1118619603726545
