dataset,k,minimum_cluster_mean_jaccard,all_cluster_mean_jaccard_ge_0_75,minimum_cluster_fraction,all_clusters_ge_5_percent
NHANES,2,0.9807272623651948,TRUE,0.46279922363597154,TRUE
NHANES,3,0.8045810587073149,TRUE,0.24843648910933794,TRUE
NHANES,4,0.8782349985257127,TRUE,0.15268492559844726,TRUE
NHANES,5,0.8816861858934503,TRUE,0.11861117101574294,TRUE
NHANES,6,0.8492469616965639,TRUE,0.10869096398533534,TRUE
MIMIC-IV,2,0.9424451350766853,TRUE,0.4527272727272727,TRUE
MIMIC-IV,3,0.914148417999529,TRUE,0.23363636363636364,TRUE
MIMIC-IV,4,0.8778203566130719,TRUE,0.18636363636363637,TRUE
MIMIC-IV,5,0.6255632447691422,FALSE,0.057272727272727274,TRUE
MIMIC-IV,6,0.8294804219546409,TRUE,0.05272727272727273,TRUE
eICU,2,0.9891317252215547,TRUE,0.47638105235533396,TRUE
eICU,3,0.9792986645665375,TRUE,0.2845427109303241,TRUE
eICU,4,0.9585807775353572,TRUE,0.20154835323448367,TRUE
eICU,5,0.93558623944336,TRUE,0.12472116520141714,TRUE
eICU,6,0.7486630492194333,FALSE,0.1118619603726545,TRUE
