dataset,k,tot_withinss,betweenss,totalss,iterations,converged_before_itermax
NHANES,2,22264.315078345404,5551.684921654596,27816,18,TRUE
NHANES,3,19544.06364750834,8271.936352491659,27816,22,TRUE
NHANES,4,17670.08645897374,10145.91354102626,27816,19,TRUE
NHANES,5,16266.089949800491,11549.910050199509,27816,36,TRUE
NHANES,6,15147.822269780669,12668.177730219331,27816,62,TRUE
MIMIC-IV,2,5334.6448890982365,1259.3551109017635,6594,17,TRUE
MIMIC-IV,3,4578.238461546721,2015.7615384532792,6594,23,TRUE
MIMIC-IV,4,4031.582868419385,2562.417131580615,6594,25,TRUE
MIMIC-IV,5,3696.674500768065,2897.325499231935,6594,34,TRUE
MIMIC-IV,6,3378.7180208945415,3215.2819791054585,6594,26,TRUE
eICU,2,72511.29985091652,18934.70014908348,91446,25,TRUE
eICU,3,62913.30114093745,28532.698859062548,91446,21,TRUE
eICU,4,56271.337105985716,35174.662894014284,91446,56,TRUE
eICU,5,51381.85000023298,40064.14999976702,91446,28,TRUE
eICU,6,47532.821887228354,43913.178112771646,91446,42,TRUE
