dataset,model,landmark_day,endpoint,effect_measure,comparison,n,events,estimate,lower_95,upper_95,p_value,effect_95ci
MIMIC-IV,"1-day landmark, official OASIS quartile-stratified Cox",1,365-day all-cause mortality,HR,P1 vs P3,1053,503,1.785022471563538,1.44151640930512,2.210384289362862,1.0753443007611355e-7,1.785 (1.442-2.210)
MIMIC-IV,"1-day landmark, official OASIS quartile-stratified Cox",1,365-day all-cause mortality,HR,P2 vs P3,1053,503,1.8031511981877253,1.4165841609061185,2.295207255067782,1.6773544506492075e-6,1.803 (1.417-2.295)
MIMIC-IV,"1-day landmark, official SOFA quartile-stratified Cox",1,365-day all-cause mortality,HR,P1 vs P3,1053,503,1.7171347673242652,1.385219709646278,2.128580606109542,8.080678403874305e-7,1.717 (1.385-2.129)
MIMIC-IV,"1-day landmark, official SOFA quartile-stratified Cox",1,365-day all-cause mortality,HR,P2 vs P3,1053,503,1.6086008214390382,1.2622324007402341,2.0500159885111935,1.2183948910070027e-4,1.609 (1.262-2.050)
MIMIC-IV,"3-day landmark, official OASIS quartile-stratified Cox",3,365-day all-cause mortality,HR,P1 vs P3,1002,452,1.7339796255503501,1.3878433501298124,2.16644431919676,1.2662775105321912e-6,1.734 (1.388-2.166)
MIMIC-IV,"3-day landmark, official OASIS quartile-stratified Cox",3,365-day all-cause mortality,HR,P2 vs P3,1002,452,1.6872379314447916,1.3087827959320875,2.175129323333356,5.424546015765666e-5,1.687 (1.309-2.175)
MIMIC-IV,"3-day landmark, official SOFA quartile-stratified Cox",3,365-day all-cause mortality,HR,P1 vs P3,1002,452,1.6603774749754798,1.3277523067472963,2.076331063705429,8.771782194936627e-6,1.660 (1.328-2.076)
MIMIC-IV,"3-day landmark, official SOFA quartile-stratified Cox",3,365-day all-cause mortality,HR,P2 vs P3,1002,452,1.5222336897483273,1.1795355596822372,1.9644981341885537,0.0012427827541941097,1.522 (1.180-1.964)
MIMIC-IV,"7-day landmark, official OASIS quartile-stratified Cox",7,365-day all-cause mortality,HR,P1 vs P3,937,387,1.8507266373589573,1.4547032297925657,2.3545620962967204,5.41445496264141e-7,1.851 (1.455-2.355)
MIMIC-IV,"7-day landmark, official OASIS quartile-stratified Cox",7,365-day all-cause mortality,HR,P2 vs P3,937,387,1.684535910239521,1.2760771978435101,2.2237379036957634,2.326196730975785e-4,1.685 (1.276-2.224)
MIMIC-IV,"7-day landmark, official SOFA quartile-stratified Cox",7,365-day all-cause mortality,HR,P1 vs P3,937,387,1.7987337772195988,1.412695822400064,2.2902617463778654,1.9064952911690073e-6,1.799 (1.413-2.290)
MIMIC-IV,"7-day landmark, official SOFA quartile-stratified Cox",7,365-day all-cause mortality,HR,P2 vs P3,937,387,1.5453095822855265,1.1694444578043384,2.0419795819862743,0.002207239579173706,1.545 (1.169-2.042)
eICU,"1-day landmark, APACHE-adjusted hospital random-intercept logistic",1,In-hospital mortality,OR,P1 vs P3,12699,1733,1.4396144855081423,1.2436220889514626,1.6664948984882177,1.0608077906562089e-6,1.440 (1.244-1.666)
eICU,"1-day landmark, APACHE-adjusted hospital random-intercept logistic",1,In-hospital mortality,OR,P2 vs P3,12699,1733,1.031108772352963,0.8767031905783175,1.2127083736536923,0.7112811419396876,1.031 (0.877-1.213)
eICU,"1-day landmark, APACHE-adjusted ICU random-intercept logistic",1,ICU mortality,OR,P1 vs P3,10820,974,1.289390724065779,1.065990895215763,1.5596084795549476,0.008836646538939319,1.289 (1.066-1.560)
eICU,"1-day landmark, APACHE-adjusted ICU random-intercept logistic",1,ICU mortality,OR,P2 vs P3,10820,974,1.040518335918154,0.8434713981586743,1.2835982461828663,0.7107850896580656,1.041 (0.843-1.284)
eICU,"3-day landmark, APACHE-adjusted hospital random-intercept logistic",3,In-hospital mortality,OR,P1 vs P3,10341,1154,1.4049211899734562,1.1842190293039523,1.666755474446795,9.651368338373189e-5,1.405 (1.184-1.667)
eICU,"3-day landmark, APACHE-adjusted hospital random-intercept logistic",3,In-hospital mortality,OR,P2 vs P3,10341,1154,0.9964809844496573,0.8229302705478921,1.2066324303621176,0.9711968309269204,0.996 (0.823-1.207)
eICU,"3-day landmark, APACHE-adjusted ICU random-intercept logistic",3,ICU mortality,OR,P1 vs P3,4696,530,1.2316447557062136,0.9621583606778897,1.5766103234709208,0.09816852347948653,1.232 (0.962-1.577)
eICU,"3-day landmark, APACHE-adjusted ICU random-intercept logistic",3,ICU mortality,OR,P2 vs P3,4696,530,1.013004824111226,0.7667838262908988,1.3382895393561796,0.9275375527678662,1.013 (0.767-1.338)
eICU,"7-day landmark, APACHE-adjusted hospital random-intercept logistic",7,In-hospital mortality,OR,P1 vs P3,5186,585,1.3210564585858189,1.036146529923335,1.6843082675772059,0.024672182167126466,1.321 (1.036-1.684)
eICU,"7-day landmark, APACHE-adjusted hospital random-intercept logistic",7,In-hospital mortality,OR,P2 vs P3,5186,585,1.1086718002335343,0.8454462535346563,1.4538513305774332,0.4556827981882368,1.109 (0.845-1.454)
eICU,"7-day landmark, APACHE-adjusted ICU random-intercept logistic",7,ICU mortality,OR,P1 vs P3,1441,223,1.7239613779126464,1.1482650529542617,2.588289894295733,0.008618888549344632,1.724 (1.148-2.588)
eICU,"7-day landmark, APACHE-adjusted ICU random-intercept logistic",7,ICU mortality,OR,P2 vs P3,1441,223,1.4294924977714392,0.904495077986253,2.259214948669832,0.12597974090659672,1.429 (0.904-2.259)
