order,script,role,primary_output,script_md5,output_exists,output_md5
1,27_rebuild_NHANES_2011_2018.R,Rebuild four-cycle NHANES cohort and linked mortality,output/nhanes_2011_2018_rebuild/NHANES_2011_2018_rebuilt_analytical_cohort.rds,d63f4e7699d7e4c7816b777ca44e8994,TRUE,56425c9c7712d65d81b21e985704b09e
2,27B_augment_NHANES_covariates.R,"Add smoking, hypertension, and diabetes",output/nhanes_covariate_upgrade/NHANES_2011_2018_covariate_augmented.rds,2ef31f817a2723fd4c6c0ff6cce60561,TRUE,cb7656108648723b75ad2cd94beb3a10
3,28_NHANES_robust_phenotype_reanalysis.R,Frozen robust six-feature phenotype,output/nhanes_robust_reanalysis/NHANES_robust_reanalysis_results.rds,a5c52ef7be5b4e02b782b1c585b70522,TRUE,b2c98903f00fd6115bb6cd8621506974
4,28B_NHANES_cluster_number_validation.R,K-number and subsampling stability,output/nhanes_cluster_number_validation/NHANES_cluster_number_validation_results.rds,15d596420e9f586d5b64f49fe66fdf1c,TRUE,e037a38207c874f939fcc6eb015dccd9
5,29_NHANES_albumin_and_conventional_benchmarks.R,Albumin and conventional benchmark models,output/nhanes_albumin_benchmarks/NHANES_albumin_benchmark_results.rds,18e3aa732c632471e0dd57d5e432aafa,TRUE,8ca62ca5552c492260a697625db54a21
6,32_NHANES_cluster_aware_bootstrap_and_PH.R,Reclustering bootstrap and PH audit,output/nhanes_corrected_bootstrap/NHANES_corrected_bootstrap_results.rds,e1808ea1b3a30f27650816b851741df9,TRUE,6be42e3f583ad77830c459b13904939c
7,32B_NHANES_time_varying_score.R,Time-varying continuous score,output/nhanes_corrected_bootstrap/NHANES_time_varying_score_results.rds,bba00b099cffc1642034d975d88276d7,TRUE,ec865c8d6ff456c3cef000ad818ef54e
8,33_NHANES_selection_bias_sensitivity.R,NHANES selection audit and selection IPW,output/nhanes_selection_bias/NHANES_selection_bias_results.rds,bdbe0c3a259ecaf32d9bc2ed14798731,TRUE,768789f5ec86093d371710592765847c
9,34_NHANES_bootstrap_Cindex_increment.R,Cluster-aware out-of-bag C-index,output/nhanes_bootstrap_cindex/NHANES_bootstrap_Cindex_results.rds,88324f20fb0273e5f4e59887541a61f3,TRUE,6b0e1e0625032f0fffce13458a9d8805
10,35_NHANES_leave_one_cycle_out_validation.R,Leave-one-cycle-out transportability,output/nhanes_leave_one_cycle_out/NHANES_LOCO_results.rds,72129aa1d533f21642a2594455417ed3,TRUE,a0909f10007cea4cb70bd232f8e4374d
11,09_MIMIC_IV_external_validation_formal.R,Strict 0-24h MIMIC extraction,output/mimic_24h_validation/MIMIC_projected_albumin_proxy_dataset.csv,3e3e2bbbfdb81d954501a535e08954fb,TRUE,f47c1407129ba73ff34c29b869de0f73
12,30_MIMIC_IV_24h_robust_revalidation.R,MIMIC de novo robust phenotype,output/mimic_24h_robust_corrected_severity/MIMIC_24h_robust_results.rds,57c6daae065dab234a10d36ac189c6ad,TRUE,c8f35c93b1fbd7a3e4d56df443d9747b
13,10_eICU_multicenter_validation.R,Strict 0-24h eICU extraction,output/eicu_24h_extraction/eICU_denovo_strict_total_protein_dataset.csv,3618d964284ba0a7c853bdb6417669ce,TRUE,4e69fe143cb47c34b7512851d5d6b067
14,31_eICU_24h_robust_revalidation.R,eICU de novo robust phenotype and APACHE model,output/eicu_24h_robust/eICU_24h_robust_results.rds,03285324179fa6e19f9399ab311e02c8,TRUE,199baed902d3534db379afe7fbb12ac5
15,39_ICU_complete_case_selection_audit.R,ICU complete-case selection audit,output/icu_selection_bias/ICU_selection_bias_results.rds,75677176ab09069686b6c24ea63a3428,TRUE,e735b03ba05a9b23596ef1dcf303bd4a
16,41_MIMIC_official_OASIS_v301.R,MIT-LCP v3.0.1 official OASIS reconstruction,output/mimic_official_oasis_v301/MIMIC_official_OASIS_v301_results.rds,6ac7753088723760b5ec4944b89a0aa8,TRUE,3d8ccbcb1d711cc3a8687edb87d0d769
17,42_MIMIC_official_first_day_SOFA_v301.R,MIT-LCP v3.0.1 official first-day SOFA,output/mimic_official_sofa_v301/MIMIC_official_first_day_SOFA_v301_results.rds,c2761de6694f513dfcc539cbf3605c5f,TRUE,fc530152b39ffd90489684935cfb73ee
18,40_harmonised_albumin_cross_database_sensitivity.R,Harmonised albumin sensitivity,output/harmonised_albumin_sensitivity/harmonised_albumin_results.rds,eb7e68462dd45921da404f0bb1a57476,TRUE,a012f8b3ee50b33230fc648a151258d1
19,43_eICU_hospital_heterogeneity.R,Hospital heterogeneity and leave-one-hospital-out audit,output/eicu_hospital_heterogeneity/eICU_hospital_heterogeneity_results.rds,3a8a6f562e732d1e32fd1eff5a992915,TRUE,a64306d521b3fba27d3ff2f35c289c8e
20,44_age_sex_effect_modification.R,Limited age and sex interactions,output/age_sex_effect_modification/age_sex_effect_modification_results.rds,3e81de311b4167633533d85cb3b1946a,TRUE,dcee2b6c9dccd45751f3895b162d3d8b
21,38_NHANES_adjusted_absolute_risk_RMST.R,Adjusted absolute risk and RMST,output/nhanes_adjusted_absolute_risk/NHANES_adjusted_absolute_risk_RMST_results.rds,e9483c289005133dfb92ffce1e6de88a,TRUE,59e127ccbc01ce23bc3871638ae5d560
22,36_build_corrected_publication_tables.R,Build frozen publication tables,output/corrected_publication_tables/Table3_cross_database_primary.csv,9e719dcf0725d6140a75427020fe5e42,TRUE,bdf51a895261196c351b2ae6dea32bb0
23,37_verify_corrected_publication_tables.R,Publication-table QA,output/corrected_publication_tables/TABLE_QA_REPORT.csv,8f7b1285cc28cc3cde0de7b49128d86b,TRUE,48e304aa432e28169b2497bb14caf55b
24,45_build_final_analysis_freeze_v2.R,Final freeze and unique result dictionary,output/final_analysis_freeze_v2/UNIQUE_RESULT_DICTIONARY.csv,2cb755b9451f63951546bdc73267880b,TRUE,fa0d60294450604fbc1df8046be8cbce
