"result_id","dataset","analysis","comparison_or_metric","effect_measure","estimate_expected","lower_95_expected","upper_95_expected","p_value","n_expected","events_expected","estimate_observed","lower_95_observed","upper_95_observed","n_observed","events_observed","passed"
"EICU_FEATURE_COMPLETE_N","eICU-CRD v2.0","outcome-blind albumin six-feature cohort","total stays","count",15242,,,,15242,,15242,,,15242,,TRUE
"EICU_IPW_P1","eICU-CRD v2.0","selection-IPW APACHE-adjusted hospital random-intercept","P1 vs P3 OR","OR",1.21186261505101,1.04701136814601,1.4026695816673,0.0100007507360449,13234,1990,1.21186261505101,1.04701136814601,1.4026695816673,13234,1990,TRUE
"EICU_IPW_P2","eICU-CRD v2.0","selection-IPW APACHE-adjusted hospital random-intercept","P2 vs P3 OR","OR",0.962541752118029,0.821044682858673,1.12842412101696,0.637912040566093,13234,1990,0.962541752118029,0.821044682858673,1.12842412101696,13234,1990,TRUE
"EICU_META_P1","eICU-CRD v2.0","17 high-information hospitals REML Hartung-Knapp","P1 vs P3 pooled OR","OR",1.34989868290566,1.01868950132453,1.78879477185259,0.0381700191567434,3602,622,1.34989868290566,1.01868950132453,1.78879477185259,3602,622,TRUE
"EICU_PRIMARY_P1","eICU-CRD v2.0","APACHE-adjusted hospital random-intercept","P1 vs P3 OR","OR",1.42667823535341,1.23790134518877,1.64424313386679,9.23917924242112e-07,13234,1990,1.42667823535341,1.23790134518877,1.64424313386679,13234,1990,TRUE
"EICU_PRIMARY_P2","eICU-CRD v2.0","APACHE-adjusted hospital random-intercept","P2 vs P3 OR","OR",1.08413860415248,0.928011429744573,1.26653236731921,0.308543035993204,13234,1990,1.08413860415248,0.928011429744573,1.26653236731921,13234,1990,TRUE
"MIMIC_FULL_N","MIMIC-IV v3.1","Outcome-blind K-means K=3","total participants","count",1100,,,,1100,550,1100,,,1100,550,TRUE
"MIMIC_IPW_P1","MIMIC-IV v3.1","Selection-IPW official OASIS quartile-stratified Cox","P1 vs P3","HR",1.94738999133244,1.47912209037081,2.56390449647806,2.03876729691628e-06,1100,550,1.94738999133244,1.47912209037081,2.56390449647806,1100,550,TRUE
"MIMIC_IPW_P2","MIMIC-IV v3.1","Selection-IPW official OASIS quartile-stratified Cox","P2 vs P3","HR",1.29576394277248,0.942598381754356,1.78125087830549,0.110513317261407,1100,550,1.29576394277248,0.942598381754356,1.78125087830549,1100,550,TRUE
"MIMIC_PRIMARY_P1","MIMIC-IV v3.1","Official OASIS quartile-stratified Cox","P1 vs P3","HR",1.80940221557217,1.47256688821559,2.22328534202254,1.67704257885748e-08,1100,550,1.80940221557217,1.47256688821559,2.22328534202254,1100,550,TRUE
"MIMIC_PRIMARY_P2","MIMIC-IV v3.1","Official OASIS quartile-stratified Cox","P2 vs P3","HR",1.8399832874602,1.4586520759854,2.32100481936086,2.66120419754656e-07,1100,550,1.8399832874602,1.4586520759854,2.32100481936086,1100,550,TRUE
"MIMIC_SOFA_IPW_P1","MIMIC-IV v3.1","Selection-IPW official first-day SOFA quartile-stratified Cox","P1 vs P3","HR",1.99109273000827,1.52181001883914,2.60508881556445,5.11453271842064e-07,1100,550,1.99109273000827,1.52181001883914,2.60508881556445,1100,550,TRUE
"MIMIC_SOFA_IPW_P2","MIMIC-IV v3.1","Selection-IPW official first-day SOFA quartile-stratified Cox","P2 vs P3","HR",1.12617954668788,0.803634645896429,1.57818030600633,0.490056165566778,1100,550,1.12617954668788,0.803634645896429,1.57818030600633,1100,550,TRUE
"NHANES_FULL_N","NHANES 2011<U+2013>2018","albumin phenotype cohort","total participants","count",4637,,,,4637,831,4637,,,4637,831,TRUE
"NHANES_IPW_P1","NHANES 2011<U+2013>2018","survey Cox with selection IPW","P1 vs P3 HR","HR",2.07336662175349,1.62476348254127,2.64583072822251,4.57801291648528e-09,3979,720,2.07336662175349,1.62476348254127,2.64583072822251,3979,720,TRUE
"NHANES_IPW_P2","NHANES 2011<U+2013>2018","survey Cox with selection IPW","P2 vs P3 HR","HR",1.47973757213209,1.14294476750797,1.91577348672198,0.00293946886524866,3979,720,1.47973757213209,1.14294476750797,1.91577348672198,3979,720,TRUE
"NHANES_PRIMARY_P1","NHANES 2011<U+2013>2018","fully adjusted survey Cox","P1 vs P3 HR","HR",2.08182528490231,1.63116184314601,2.65699969323682,3.8352181755488e-09,3979,720,2.08182528490231,1.63116184314601,2.65699969323682,3979,720,TRUE
"NHANES_PRIMARY_P2","NHANES 2011<U+2013>2018","fully adjusted survey Cox","P2 vs P3 HR","HR",1.48755641631928,1.14788662449438,1.92773749995334,0.00267434829669232,3979,720,1.48755641631928,1.14788662449438,1.92773749995334,3979,720,TRUE
"STRUCT_EICU_CLARA_P1","eICU-CRD v2.0","CLARA K-medoids","P1 vs P3","OR",1.57707474038684,1.36588602490807,1.820916746647,5.27064851783024e-10,13234,1990,1.57707474038684,1.36588602490807,1.820916746647,13234,1990,TRUE
"STRUCT_EICU_GMM_P1","eICU-CRD v2.0","Gaussian mixture","P1 vs P3","OR",1.42330937472416,1.24763208423661,1.62372353338221,1.50668660906405e-07,13234,1990,1.42330937472416,1.24763208423661,1.62372353338221,13234,1990,TRUE
